Bairro;Latitude;Longitude
CENTRO;-24.954817;-53.4652976
XIV DE NOVEMBRO;-24.9905433;-53.481493335488494
ALTO ALEGRE;-24.9610537;-53.4899277
BRASÍLIA;-24.9333298;-53.4238188
BRASMADEIRA;-24.9247088;-53.4488018
CANADA;-24.9330169;-53.4600598
CANCELLI;-24.9420483;-53.464458
CASCAVEL VELHO;-24.9716516;-53.4181271
CATARATAS;-24.9544878;-53.4044373
COQUEIRAL;-24.9525208;-53.4874823
COUNTRY;-24.9380555;-53.4492587
SÃO CRISTOVÃO;-24.9394956;-53.4351218
ESMERALDA;-24.9729866;-53.5076899
FAG;-24.9492169;-53.5046079
FLORESTA;-24.9209976;-53.4213395
GUARUJÁ;-24.9865703;-53.4945098
INTERLAGOS;-24.9151257;-53.4371987
REGIÃO DO LAGO;-24.95940035;-53.4385669914972
LAGO AZUL;-24.9207033;-53.4000844
MARIA LUIZA;-24.9725527;-53.4519488
MORUMBI;-24.9399006;-53.4016622
NEVA;-24.9675837;-53.4695668
PACAEMBU;-24.9572725;-53.4189106
PERIOLO;-24.943197;-53.4141755
PIONEIROS;-24.9729866;-53.4827093
PQ. SÃO PAULO;-24.9780928;-53.4651462
PQ. VERDE;-24.9431463;-53.4905271
ST. ONOFRE;-24.967149;-53.4984792
ST. DUMONT;-24.986747;-53.5119107
SANTA. FELICIDADE;-24.9965931;-53.461171
ST. CRUZ;-24.9571529;-53.5018868
TROPICAL;-24.9397208;-53.4800377
UNIVERSITÁRIO;-24.9885607;-53.4435642
VENEZA;-24.9746295;-53.4118899
